gitaccount_id,district_id,frequency,date
2585,75,POPLATEK MESICNE,1993/2/10
2220,16,POPLATEK MESICNE,1993/2/10
2763,64,POPLATEK MESICNE,1993/2/11
2342,51,POPLATEK MESICNE,1993/2/11
1944,72,POPLATEK MESICNE,1993/2/12
1966,27,POPLATEK MESICNE,1993/2/12
1801,46,POPLATEK MESICNE,1993/2/13
2543,68,POPLATEK MESICNE,1993/2/13
2293,31,POPLATEK MESICNE,1993/2/13
11013,1,POPLATEK TYDNE,1993/2/14
2423,30,POPLATEK MESICNE,1993/2/14
142,51,POPLATEK MESICNE,1993/2/15
3424,74,POPLATEK MESICNE,1993/2/16
539,13,POPLATEK PO OBRATU,1993/2/16
979,21,POPLATEK MESICNE,1993/2/16
3554,66,POPLATEK MESICNE,1993/2/16
3545,51,POPLATEK MESICNE,1993/2/17
3047,16,POPLATEK MESICNE,1993/2/17
3374,21,POPLATEK MESICNE,1993/2/17
96,68,POPLATEK MESICNE,1993/2/18
461,30,POPLATEK MESICNE,1993/2/18
3593,1,POPLATEK MESICNE,1993/2/18
3026,24,POPLATEK MESICNE,1993/2/18
1054,10,POPLATEK MESICNE,1993/2/19
2433,71,POPLATEK MESICNE,1993/2/19
3691,50,POPLATEK MESICNE,1993/2/19
3787,70,POPLATEK MESICNE,1993/2/19
128,2,POPLATEK MESICNE,1993/2/19
3168,39,POPLATEK MESICNE,1993/2/20
4937,12,POPLATEK MESICNE,1993/2/20
2124,69,POPLATEK MESICNE,1993/2/20
322,1,POPLATEK MESICNE,1993/2/20
4355,31,POPLATEK MESICNE,1993/2/21
1678,1,POPLATEK MESICNE,1993/2/22
2396,2,POPLATEK MESICNE,1993/2/22
1005,54,POPLATEK TYDNE,1993/2/23
697,28,POPLATEK MESICNE,1993/2/23
925,59,POPLATEK MESICNE,1993/2/23
2110,64,POPLATEK MESICNE,1993/2/23
1366,60,POPLATEK MESICNE,1993/2/24
1050,57,POPLATEK PO OBRATU,1993/2/24
3117,33,POPLATEK MESICNE,1993/2/24
562,50,POPLATEK MESICNE,1993/2/25
5369,54,POPLATEK MESICNE,1993/2/25
2242,7,POPLATEK TYDNE,1993/2/25
197,1,POPLATEK MESICNE,1993/2/25
496,69,POPLATEK MESICNE,1993/2/26
2,1,POPLATEK MESICNE,1993/2/26
7401,1,POPLATEK MESICNE,1993/2/26
2486,1,POPLATEK MESICNE,1993/2/27
428,1,POPLATEK MESICNE,1993/2/27
3651,23,POPLATEK MESICNE,1993/2/27
1775,17,POPLATEK MESICNE,1993/2/27
1688,70,POPLATEK MESICNE,1993/2/27
361,51,POPLATEK MESICNE,1993/2/27
1829,43,POPLATEK MESICNE,1993/2/27
1575,1,POPLATEK MESICNE,1993/2/27
9203,70,POPLATEK MESICNE,1993/2/27
3008,72,POPLATEK MESICNE,1993/2/27
239,69,POPLATEK TYDNE,1993/3/1
3302,21,POPLATEK MESICNE,1993/3/2
415,25,POPLATEK MESICNE,1993/3/3
3513,20,POPLATEK MESICNE,1993/3/3
4134,7,POPLATEK MESICNE,1993/3/3
1077,14,POPLATEK MESICNE,1993/3/3
1713,43,POPLATEK MESICNE,1993/3/3
1378,59,POPLATEK MESICNE,1993/3/4
2503,1,POPLATEK MESICNE,1993/3/5
559,46,POPLATEK MESICNE,1993/3/5
6555,38,POPLATEK TYDNE,1993/3/5
744,42,POPLATEK MESICNE,1993/3/6
882,9,POPLATEK MESICNE,1993/3/6
86,54,POPLATEK MESICNE,1993/3/7
1126,56,POPLATEK MESICNE,1993/3/8
2666,49,POPLATEK MESICNE,1993/3/8
944,70,POPLATEK MESICNE,1993/3/8
1545,1,POPLATEK MESICNE,1993/3/8
2453,1,POPLATEK MESICNE,1993/3/8
3734,43,POPLATEK MESICNE,1993/3/8
3935,23,POPLATEK MESICNE,1993/3/8
396,21,POPLATEK MESICNE,1993/3/8
2694,7,POPLATEK MESICNE,1993/3/8
4596,74,POPLATEK MESICNE,1993/3/9
2489,72,POPLATEK MESICNE,1993/3/9
2895,19,POPLATEK MESICNE,1993/3/9
317,76,POPLATEK MESICNE,1993/3/10
2555,53,POPLATEK MESICNE,1993/3/10
494,60,POPLATEK MESICNE,1993/3/11
2219,60,POPLATEK MESICNE,1993/3/11
2581,72,POPLATEK MESICNE,1993/3/11
112,6,POPLATEK MESICNE,1993/3/12
3674,38,POPLATEK MESICNE,1993/3/12
2039,44,POPLATEK MESICNE,1993/3/12
2712,9,POPLATEK MESICNE,1993/3/12
395,1,POPLATEK MESICNE,1993/3/12
2974,9,POPLATEK MESICNE,1993/3/13
123,21,POPLATEK MESICNE,1993/3/13
9640,1,POPLATEK MESICNE,1993/3/13
3108,53,POPLATEK MESICNE,1993/3/14
2508,34,POPLATEK MESICNE,1993/3/14
2458,40,POPLATEK TYDNE,1993/3/14
588,66,POPLATEK MESICNE,1993/3/14
7231,10,POPLATEK MESICNE,1993/3/14
6701,49,POPLATEK TYDNE,1993/3/15
3883,72,POPLATEK MESICNE,1993/3/15
222,37,POPLATEK MESICNE,1993/3/15
2497,65,POPLATEK MESICNE,1993/3/16
1372,1,POPLATEK MESICNE,1993/3/16
3835,50,POPLATEK MESICNE,1993/3/16
7445,64,POPLATEK MESICNE,1993/3/18
2527,38,POPLATEK MESICNE,1993/3/19
425,9,POPLATEK MESICNE,1993/3/19
860,1,POPLATEK MESICNE,1993/3/19
6034,6,POPLATEK TYDNE,1993/3/19
11065,11,POPLATEK MESICNE,1993/3/19
9883,1,POPLATEK MESICNE,1993/3/19
115,68,POPLATEK MESICNE,1993/3/19
1189,59,POPLATEK MESICNE,1993/3/19
3675,64,POPLATEK MESICNE,1993/3/20
3069,66,POPLATEK MESICNE,1993/3/20
2762,19,POPLATEK MESICNE,1993/3/20
892,70,POPLATEK MESICNE,1993/3/20
1535,46,POPLATEK MESICNE,1993/3/20
2618,60,POPLATEK MESICNE,1993/3/21
2651,2,POPLATEK MESICNE,1993/3/21
5442,34,POPLATEK MESICNE,1993/3/22
1787,30,POPLATEK TYDNE,1993/3/22
1397,17,POPLATEK MESICNE,1993/3/22
3785,10,POPLATEK MESICNE,1993/3/24
623,1,POPLATEK MESICNE,1993/3/24
8260,31,POPLATEK MESICNE,1993/3/24
3678,1,POPLATEK MESICNE,1993/3/24
3001,1,POPLATEK MESICNE,1993/3/24
655,53,POPLATEK MESICNE,1993/3/24
4093,1,POPLATEK MESICNE,1993/3/25
3260,68,POPLATEK MESICNE,1993/3/25
2528,65,POPLATEK MESICNE,1993/3/25
2011,75,POPLATEK MESICNE,1993/3/25
1721,68,POPLATEK MESICNE,1993/3/25
1332,59,POPLATEK MESICNE,1993/3/25
1402,74,POPLATEK MESICNE,1993/3/26
3283,68,POPLATEK MESICNE,1993/3/26
3781,31,POPLATEK MESICNE,1993/3/26
7203,71,POPLATEK MESICNE,1993/3/26
1065,72,POPLATEK MESICNE,1993/3/27
3076,54,POPLATEK MESICNE,1993/3/27
4347,1,POPLATEK MESICNE,1993/3/27
1157,7,POPLATEK MESICNE,1993/3/27
9403,1,POPLATEK TYDNE,1993/3/27
1874,9,POPLATEK MESICNE,1993/3/27
1115,34,POPLATEK MESICNE,1993/3/27
3586,59,POPLATEK MESICNE,1993/3/27
62,47,POPLATEK MESICNE,1993/3/28
1771,69,POPLATEK MESICNE,1993/3/28
5483,13,POPLATEK MESICNE,1993/3/28
8330,48,POPLATEK MESICNE,1993/3/28
187,5,POPLATEK MESICNE,1993/3/28
423,12,POPLATEK MESICNE,1993/3/28
6425,31,POPLATEK MESICNE,1993/3/29
2493,62,POPLATEK MESICNE,1993/3/29
2896,29,POPLATEK MESICNE,1993/3/30
2245,29,POPLATEK MESICNE,1993/3/30
3923,52,POPLATEK MESICNE,1993/3/30
1898,70,POPLATEK MESICNE,1993/4/1
3367,1,POPLATEK MESICNE,1993/4/1
3391,74,POPLATEK MESICNE,1993/4/1
8519,23,POPLATEK MESICNE,1993/4/2
1780,1,POPLATEK MESICNE,1993/4/2
3915,65,POPLATEK MESICNE,1993/4/2
3980,75,POPLATEK MESICNE,1993/4/3
4350,63,POPLATEK MESICNE,1993/4/4
686,41,POPLATEK MESICNE,1993/4/4
362,15,POPLATEK MESICNE,1993/4/4
299,77,POPLATEK MESICNE,1993/4/5
2488,5,POPLATEK MESICNE,1993/4/6
2985,71,POPLATEK MESICNE,1993/4/6
385,5,POPLATEK MESICNE,1993/4/7
2817,56,POPLATEK MESICNE,1993/4/7
2056,58,POPLATEK MESICNE,1993/4/7
2002,1,POPLATEK MESICNE,1993/4/8
748,10,POPLATEK MESICNE,1993/4/8
220,72,POPLATEK MESICNE,1993/4/9
1422,68,POPLATEK MESICNE,1993/4/9
1147,44,POPLATEK MESICNE,1993/4/10
3788,70,POPLATEK MESICNE,1993/4/10
1891,32,POPLATEK MESICNE,1993/4/10
1239,1,POPLATEK MESICNE,1993/4/10
8321,77,POPLATEK MESICNE,1993/4/12
3213,51,POPLATEK MESICNE,1993/4/12
2838,3,POPLATEK TYDNE,1993/4/13
3644,38,POPLATEK MESICNE,1993/4/13
4318,33,POPLATEK TYDNE,1993/4/13
2648,51,POPLATEK MESICNE,1993/4/13
2313,26,POPLATEK TYDNE,1993/4/13
5428,24,POPLATEK MESICNE,1993/4/14
7123,64,POPLATEK PO OBRATU,1993/4/14
279,39,POPLATEK MESICNE,1993/4/14
104,37,POPLATEK MESICNE,1993/4/15
497,55,POPLATEK MESICNE,1993/4/15
1152,45,POPLATEK MESICNE,1993/4/15
83,26,POPLATEK MESICNE,1993/4/16
2008,52,POPLATEK MESICNE,1993/4/16
3327,45,POPLATEK MESICNE,1993/4/16
5740,43,POPLATEK MESICNE,1993/4/16
8132,5,POPLATEK TYDNE,1993/4/17
10738,45,POPLATEK TYDNE,1993/4/17
2216,74,POPLATEK MESICNE,1993/4/17
1815,66,POPLATEK MESICNE,1993/4/17
2823,57,POPLATEK MESICNE,1993/4/18
4321,47,POPLATEK MESICNE,1993/4/18
1773,33,POPLATEK MESICNE,1993/4/19
7454,4,POPLATEK MESICNE,1993/4/19
188,54,POPLATEK MESICNE,1993/4/20
10973,18,POPLATEK TYDNE,1993/4/20
2599,48,POPLATEK MESICNE,1993/4/20
1166,11,POPLATEK MESICNE,1993/4/21
504,73,POPLATEK MESICNE,1993/4/21
1518,67,POPLATEK MESICNE,1993/4/21
2189,75,POPLATEK MESICNE,1993/4/22
6040,1,POPLATEK MESICNE,1993/4/22
2876,52,POPLATEK MESICNE,1993/4/22
1505,69,POPLATEK MESICNE,1993/4/23
6897,48,POPLATEK MESICNE,1993/4/23
4377,28,POPLATEK MESICNE,1993/4/24
717,75,POPLATEK MESICNE,1993/4/24
9707,70,POPLATEK MESICNE,1993/4/24
2814,72,POPLATEK MESICNE,1993/4/25
3068,59,POPLATEK MESICNE,1993/4/25
1476,61,POPLATEK MESICNE,1993/4/26
897,38,POPLATEK MESICNE,1993/4/26
977,1,POPLATEK MESICNE,1993/4/26
2639,17,POPLATEK MESICNE,1993/4/26
1032,11,POPLATEK MESICNE,1993/4/26
928,20,POPLATEK MESICNE,1993/4/26
168,31,POPLATEK MESICNE,1993/4/27
2175,1,POPLATEK MESICNE,1993/4/27
10105,55,POPLATEK MESICNE,1993/4/28
1392,60,POPLATEK MESICNE,1993/4/28
3697,45,POPLATEK MESICNE,1993/4/29
5313,40,POPLATEK MESICNE,1993/4/29
2222,47,POPLATEK MESICNE,1993/5/1
2641,7,POPLATEK MESICNE,1993/5/2
5423,15,POPLATEK MESICNE,1993/5/2
2609,73,POPLATEK MESICNE,1993/5/3
5472,1,POPLATEK MESICNE,1993/5/4
2932,72,POPLATEK MESICNE,1993/5/4
4254,70,POPLATEK MESICNE,1993/5/4
3965,31,POPLATEK MESICNE,1993/5/4
10656,8,POPLATEK MESICNE,1993/5/5
887,1,POPLATEK MESICNE,1993/5/5
4743,64,POPLATEK MESICNE,1993/5/5
1048,35,POPLATEK MESICNE,1993/5/5
1671,6,POPLATEK MESICNE,1993/5/5
1236,19,POPLATEK MESICNE,1993/5/5
1822,30,POPLATEK MESICNE,1993/5/5
3316,28,POPLATEK MESICNE,1993/5/6
2037,20,POPLATEK MESICNE,1993/5/6
10079,62,POPLATEK MESICNE,1993/5/6
3999,35,POPLATEK MESICNE,1993/5/6
551,77,POPLATEK MESICNE,1993/5/7
1200,33,POPLATEK MESICNE,1993/5/7
1161,66,POPLATEK MESICNE,1993/5/8
5372,48,POPLATEK MESICNE,1993/5/8
3050,60,POPLATEK MESICNE,1993/5/8
1784,59,POPLATEK MESICNE,1993/5/8
1603,1,POPLATEK MESICNE,1993/5/9
1887,68,POPLATEK MESICNE,1993/5/9
1644,1,POPLATEK MESICNE,1993/5/9
1658,73,POPLATEK MESICNE,1993/5/10
44,32,POPLATEK MESICNE,1993/5/10
1039,70,POPLATEK TYDNE,1993/5/10
1071,68,POPLATEK TYDNE,1993/5/10
2410,54,POPLATEK MESICNE,1993/5/11
2523,10,POPLATEK MESICNE,1993/5/11
790,54,POPLATEK MESICNE,1993/5/11
2583,62,POPLATEK MESICNE,1993/5/11
1782,8,POPLATEK MESICNE,1993/5/12
751,3,POPLATEK MESICNE,1993/5/12
2061,24,POPLATEK MESICNE,1993/5/12
8261,13,POPLATEK MESICNE,1993/5/12
2321,35,POPLATEK MESICNE,1993/5/13
1334,74,POPLATEK MESICNE,1993/5/14
3649,54,POPLATEK MESICNE,1993/5/14
555,24,POPLATEK MESICNE,1993/5/15
3173,39,POPLATEK MESICNE,1993/5/15
863,71,POPLATEK MESICNE,1993/5/16
3181,42,POPLATEK MESICNE,1993/5/16
3210,1,POPLATEK MESICNE,1993/5/17
489,16,POPLATEK MESICNE,1993/5/17
947,59,POPLATEK MESICNE,1993/5/17
3284,64,POPLATEK MESICNE,1993/5/17
1610,52,POPLATEK MESICNE,1993/5/17
4225,55,POPLATEK MESICNE,1993/5/18
1412,64,POPLATEK MESICNE,1993/5/18
1937,36,POPLATEK MESICNE,1993/5/18
991,39,POPLATEK MESICNE,1993/5/18
1180,20,POPLATEK MESICNE,1993/5/19
2758,70,POPLATEK MESICNE,1993/5/19
2711,58,POPLATEK MESICNE,1993/5/19
1652,74,POPLATEK MESICNE,1993/5/20
3099,70,POPLATEK MESICNE,1993/5/20
11111,1,POPLATEK MESICNE,1993/5/20
9591,74,POPLATEK MESICNE,1993/5/20
9828,11,POPLATEK MESICNE,1993/5/20
5385,44,POPLATEK TYDNE,1993/5/21
23,30,POPLATEK MESICNE,1993/5/22
2645,54,POPLATEK MESICNE,1993/5/22
2991,19,POPLATEK MESICNE,1993/5/22
3469,76,POPLATEK MESICNE,1993/5/22
1851,55,POPLATEK MESICNE,1993/5/23
3844,67,POPLATEK MESICNE,1993/5/23
1442,23,POPLATEK MESICNE,1993/5/23
3064,40,POPLATEK MESICNE,1993/5/23
3558,4,POPLATEK MESICNE,1993/5/23
1534,1,POPLATEK MESICNE,1993/5/24
334,1,POPLATEK MESICNE,1993/5/24
1786,1,POPLATEK MESICNE,1993/5/25
1272,40,POPLATEK TYDNE,1993/5/25
2436,67,POPLATEK MESICNE,1993/5/25
3796,53,POPLATEK MESICNE,1993/5/25
119,27,POPLATEK MESICNE,1993/5/25
3063,72,POPLATEK MESICNE,1993/5/26
18,43,POPLATEK TYDNE,1993/5/26
11320,44,POPLATEK MESICNE,1993/5/26
3888,39,POPLATEK MESICNE,1993/5/27
1584,30,POPLATEK MESICNE,1993/5/27
5546,43,POPLATEK MESICNE,1993/5/28
2029,55,POPLATEK MESICNE,1993/5/29
10911,1,POPLATEK TYDNE,1993/5/29
2467,33,POPLATEK MESICNE,1993/5/29
2962,1,POPLATEK MESICNE,1993/5/30
165,25,POPLATEK MESICNE,1993/6/1
1617,45,POPLATEK MESICNE,1993/6/1
327,54,POPLATEK MESICNE,1993/6/2
2068,21,POPLATEK MESICNE,1993/6/2
4448,60,POPLATEK MESICNE,1993/6/2
640,32,POPLATEK MESICNE,1993/6/2
510,1,POPLATEK TYDNE,1993/6/2
2534,61,POPLATEK MESICNE,1993/6/3
1018,7,POPLATEK MESICNE,1993/6/3
1285,65,POPLATEK MESICNE,1993/6/4
3670,27,POPLATEK MESICNE,1993/6/4
1743,51,POPLATEK MESICNE,1993/6/4
3072,8,POPLATEK MESICNE,1993/6/5
2146,31,POPLATEK MESICNE,1993/6/5
4576,27,POPLATEK MESICNE,1993/6/5
3258,53,POPLATEK MESICNE,1993/6/5
2176,67,POPLATEK MESICNE,1993/6/6
8934,51,POPLATEK MESICNE,1993/6/6
1999,70,POPLATEK MESICNE,1993/6/6
2741,15,POPLATEK MESICNE,1993/6/7
4427,32,POPLATEK MESICNE,1993/6/7
3682,70,POPLATEK MESICNE,1993/6/7
2862,33,POPLATEK MESICNE,1993/6/7
3032,5,POPLATEK MESICNE,1993/6/7
701,69,POPLATEK MESICNE,1993/6/8
6281,56,POPLATEK MESICNE,1993/6/8
306,16,POPLATEK MESICNE,1993/6/8
1207,67,POPLATEK MESICNE,1993/6/8
1247,25,POPLATEK MESICNE,1993/6/8
5343,64,POPLATEK MESICNE,1993/6/8
5129,68,POPLATEK MESICNE,1993/6/8
3713,14,POPLATEK TYDNE,1993/6/8
2327,19,POPLATEK MESICNE,1993/6/8
774,1,POPLATEK MESICNE,1993/6/8
1990,1,POPLATEK MESICNE,1993/6/9
2388,30,POPLATEK MESICNE,1993/6/9
3566,21,POPLATEK MESICNE,1993/6/9
10266,54,POPLATEK MESICNE,1993/6/10
3771,22,POPLATEK MESICNE,1993/6/11
1978,57,POPLATEK TYDNE,1993/6/11
2022,72,POPLATEK MESICNE,1993/6/11
3542,49,POPLATEK MESICNE,1993/6/11
1515,11,POPLATEK MESICNE,1993/6/11
4171,28,POPLATEK MESICNE,1993/6/12
433,20,POPLATEK MESICNE,1993/6/12
1373,47,POPLATEK MESICNE,1993/6/12
3246,54,POPLATEK MESICNE,1993/6/14
1475,1,POPLATEK TYDNE,1993/6/14
3133,66,POPLATEK MESICNE,1993/6/14
2779,73,POPLATEK MESICNE,1993/6/15
135,75,POPLATEK MESICNE,1993/6/15
446,50,POPLATEK MESICNE,1993/6/15
9093,47,POPLATEK MESICNE,1993/6/16
432,46,POPLATEK MESICNE,1993/6/16
2880,71,POPLATEK MESICNE,1993/6/16
5767,72,POPLATEK MESICNE,1993/6/16
1998,1,POPLATEK MESICNE,1993/6/17
2554,36,POPLATEK MESICNE,1993/6/18
2933,10,POPLATEK MESICNE,1993/6/18
773,15,POPLATEK MESICNE,1993/6/19
4894,14,POPLATEK MESICNE,1993/6/20
3969,39,POPLATEK MESICNE,1993/6/20
1277,31,POPLATEK MESICNE,1993/6/20
5120,1,POPLATEK MESICNE,1993/6/21
738,34,POPLATEK MESICNE,1993/6/21
1299,1,POPLATEK MESICNE,1993/6/21
148,8,POPLATEK MESICNE,1993/6/21
899,72,POPLATEK MESICNE,1993/6/21
3521,75,POPLATEK MESICNE,1993/6/22
3786,21,POPLATEK MESICNE,1993/6/22
886,1,POPLATEK MESICNE,1993/6/23
5228,77,POPLATEK PO OBRATU,1993/6/23
702,12,POPLATEK MESICNE,1993/6/23
300,1,POPLATEK MESICNE,1993/6/23
1451,64,POPLATEK MESICNE,1993/6/24
2940,54,POPLATEK MESICNE,1993/6/24
1837,23,POPLATEK MESICNE,1993/6/24
3954,22,POPLATEK MESICNE,1993/6/25
885,1,POPLATEK MESICNE,1993/6/25
2697,8,POPLATEK MESICNE,1993/6/26
8129,45,POPLATEK MESICNE,1993/6/26
1930,3,POPLATEK MESICNE,1993/6/27
2411,69,POPLATEK MESICNE,1993/6/27
3775,19,POPLATEK MESICNE,1993/6/27
9034,1,POPLATEK MESICNE,1993/6/28
902,74,POPLATEK MESICNE,1993/6/29
630,71,POPLATEK MESICNE,1993/6/29
3096,68,POPLATEK MESICNE,1993/6/29
2552,52,POPLATEK MESICNE,1993/7/1
3435,59,POPLATEK MESICNE,1993/7/1
5215,55,POPLATEK MESICNE,1993/7/1
36,1,POPLATEK MESICNE,1993/7/1
2687,76,POPLATEK MESICNE,1993/7/1
1861,54,POPLATEK MESICNE,1993/7/2
2464,33,POPLATEK PO OBRATU,1993/7/2
2736,72,POPLATEK MESICNE,1993/7/2
1145,31,POPLATEK MESICNE,1993/7/3
2298,31,POPLATEK MESICNE,1993/7/3
929,54,POPLATEK MESICNE,1993/7/3
381,68,POPLATEK MESICNE,1993/7/4
3778,52,POPLATEK MESICNE,1993/7/4
1118,48,POPLATEK MESICNE,1993/7/4
4352,2,POPLATEK MESICNE,1993/7/5
1322,17,POPLATEK MESICNE,1993/7/5
1852,35,POPLATEK MESICNE,1993/7/5
8173,11,POPLATEK MESICNE,1993/7/5
2705,63,POPLATEK PO OBRATU,1993/7/5
9472,1,POPLATEK TYDNE,1993/7/6
368,77,POPLATEK MESICNE,1993/7/6
1425,76,POPLATEK MESICNE,1993/7/6
8027,44,POPLATEK TYDNE,1993/7/7
3261,1,POPLATEK MESICNE,1993/7/7
35,75,POPLATEK MESICNE,1993/7/7
2186,63,POPLATEK MESICNE,1993/7/7
1566,73,POPLATEK MESICNE,1993/7/7
78,74,POPLATEK MESICNE,1993/7/7
3939,70,POPLATEK MESICNE,1993/7/8
2584,50,POPLATEK MESICNE,1993/7/8
2336,39,POPLATEK MESICNE,1993/7/8
2078,62,POPLATEK MESICNE,1993/7/8
