client_id,birth_number,district_id,gender,age
96,1972/2/29,74,M,27
97,1965/11/28,26,M,34
98,1973/5/4,33,F,26
99,1973/1/26,33,M,26
100,1942/8/11,44,F,57
101,1943/1/23,68,M,56
102,1958/9/10,74,F,41
103,1955/7/11,74,M,44
105,1980/5/26,31,M,19
106,1968/12/30,68,F,31
107,1972/6/23,1,M,27
108,1963/9/13,17,M,36
110,1967/4/13,2,F,32
112,1935/1/25,1,M,64
113,1940/8/15,1,F,59
114,1969/6/24,74,F,30
115,1969/12/24,74,M,30
116,1942/1/28,74,M,57
117,1936/9/20,74,F,63
118,1922/7/19,55,M,77
119,1922/2/28,55,F,77
120,1976/5/10,1,M,23
121,1978/10/29,41,F,21
122,1963/11/13,35,F,36
123,1969/2/12,11,M,30
124,1967/9/21,44,M,32
125,1936/10/31,37,M,63
126,1929/9/27,37,F,70
127,1950/12/27,21,F,49
128,1973/4/4,63,F,26
129,1947/5/31,64,F,52
130,1942/2/14,53,M,57
131,1977/1/31,53,F,22
132,1953/1/26,36,M,46
134,1932/1/18,6,M,67
135,1938/9/10,6,F,61
136,1921/1/26,55,F,78
137,1923/9/14,60,M,76
138,1972/10/21,54,F,27
139,1959/7/25,8,F,40
140,1961/6/6,8,M,38
141,1925/11/2,31,M,74
142,1937/6/21,68,M,62
143,1978/7/9,27,M,21
144,1958/12/6,65,M,41
145,1978/2/14,55,M,21
146,1961/12/19,31,F,38
147,1933/11/2,21,F,66
148,1940/12/25,21,M,59
149,1948/6/27,55,M,51
150,1980/9/27,2,F,19
151,1971/9/23,51,F,28
152,1945/12/2,29,F,54
153,1981/2/12,13,F,18
154,1933/8/27,74,M,66
155,1939/3/13,74,F,60
156,1930/7/22,54,F,69
157,1943/7/9,52,F,56
158,1945/7/3,40,F,54
159,1938/9/10,40,M,61
160,1942/4/26,64,F,57
161,1943/10/7,34,F,56
162,1941/10/17,65,M,58
163,1933/6/12,74,M,66
164,1962/4/4,70,F,37
165,1968/11/8,22,M,31
166,1961/10/22,22,F,38
167,1978/4/18,38,F,21
168,1976/11/5,24,F,23
169,1953/9/12,38,M,46
170,1946/6/16,38,F,53
171,1929/6/25,51,M,70
172,1935/10/5,51,F,64
173,1918/12/8,21,F,81
174,1978/11/10,10,M,21
175,1960/7/13,31,M,39
176,1929/3/11,4,M,70
178,1960/12/22,8,M,39
179,1980/12/29,43,M,19
180,1982/1/19,73,M,17
181,1967/7/6,76,M,32
182,1959/7/13,76,F,40
183,1978/3/19,1,F,21
184,1972/6/5,1,M,27
185,1954/5/30,77,M,45
186,1961/2/22,46,F,38
187,1942/8/23,58,M,57
188,1960/9/2,64,M,39
189,1919/8/10,11,M,80
190,1947/10/31,37,F,52
191,1954/9/3,37,M,45
192,1971/2/28,70,M,28
193,1962/5/1,1,M,37
194,1924/12/20,28,F,75
195,1919/11/18,74,M,80
196,1927/6/25,74,F,72
197,1933/4/25,30,M,66
198,1976/7/14,60,M,23
199,1923/6/21,29,M,76
200,1928/1/13,29,F,71
201,1930/8/19,17,F,69
202,1976/11/21,29,F,23
203,1962/6/10,31,M,37
204,1967/6/17,31,F,32
205,1942/6/15,4,F,57
206,1963/4/13,59,F,36
207,1932/5/20,46,M,67
208,1940/6/25,13,F,59
209,1935/8/20,13,M,64
210,1939/11/30,66,M,60
211,1945/6/28,66,F,54
212,1975/2/10,52,M,24
215,1967/9/24,71,M,32
216,1960/1/30,1,M,39
217,1974/12/22,59,F,25
218,1980/1/23,1,F,19
219,1964/4/2,60,F,35
221,1977/2/25,21,F,22
222,1972/6/29,47,F,27
223,1952/2/27,43,F,47
224,1955/5/11,77,M,44
225,1936/5/10,32,M,63
226,1942/6/16,1,M,57
227,1926/12/18,52,F,73
228,1956/3/16,48,F,43
229,1969/7/22,76,M,30
230,1967/3/10,74,F,32
231,1941/2/18,41,M,58
232,1921/6/17,55,F,78
233,1958/12/3,69,F,41
234,1955/6/21,69,M,44
235,1943/8/28,44,F,56
236,1961/9/1,70,M,38
237,1969/2/22,70,F,30
238,1961/11/28,6,F,38
239,1974/9/10,1,F,25
240,1929/6/17,34,F,70
241,1959/1/23,70,M,40
242,1961/8/1,17,F,38
243,1954/2/10,63,M,45
246,1970/12/28,67,F,29
247,1957/5/8,1,M,42
248,1969/12/12,61,F,30
249,1970/5/5,61,M,29
250,1979/11/25,8,F,20
251,1976/3/3,54,F,23
252,1969/9/1,37,F,30
253,1947/5/12,48,F,52
254,1963/5/30,28,M,36
255,1951/10/11,27,F,48
256,1963/2/27,73,F,36
257,1942/11/4,22,F,57
258,1937/5/31,22,M,62
259,1966/6/8,31,M,33
260,1962/2/24,31,F,37
261,1937/12/7,38,F,62
262,1945/11/25,77,M,54
263,1962/5/20,68,M,37
264,1978/8/22,28,M,21
265,1933/1/7,72,F,66
266,1967/8/28,19,F,32
267,1967/6/12,37,M,32
268,1982/5/2,39,F,17
269,1923/12/3,15,F,76
270,1947/3/8,46,M,52
271,1945/7/27,46,F,54
272,1944/10/25,70,F,55
273,1972/5/15,27,F,27
274,1970/11/25,17,F,29
275,1918/11/12,1,F,81
276,1957/6/11,1,M,42
277,1961/11/28,1,F,38
278,1972/12/27,22,F,27
279,1970/5/16,22,M,29
280,1969/12/18,45,F,30
282,1938/2/24,73,F,61
283,1933/11/4,73,M,66
284,1974/8/6,10,M,25
285,1954/6/3,72,M,45
286,1952/4/18,72,F,47
287,1980/9/9,50,M,19
288,1962/4/21,6,M,37
289,1958/3/27,54,M,41
290,1959/1/12,72,M,40
291,1955/4/27,72,F,44
292,1958/9/6,15,F,41
293,1943/9/27,69,M,56
294,1968/3/21,58,M,31
295,1939/3/27,12,M,60
296,1974/3/1,65,M,25
297,1924/3/15,65,F,75
298,1921/6/13,65,M,78
300,1957/7/30,1,F,42
301,1942/1/10,28,M,57
302,1971/2/23,56,M,28
303,1946/5/6,74,M,53
304,1934/3/11,19,F,65
305,1938/6/8,46,M,61
308,1976/6/12,68,F,23
309,1969/12/14,37,F,30
310,1950/4/16,11,M,49
311,1930/9/16,64,F,69
312,1924/7/3,2,M,75
313,1942/5/11,24,F,57
314,1945/3/22,24,M,54
315,1967/5/1,54,M,32
316,1955/4/28,75,M,44
317,1957/10/6,64,F,42
318,1943/4/2,15,F,56
319,1929/4/4,19,F,70
320,1934/11/12,19,M,65
321,1943/10/24,47,F,56
322,1933/2/1,38,M,66
323,1938/4/4,38,F,61
324,1960/12/3,3,M,39
325,1960/2/21,3,M,39
326,1967/9/18,27,F,32
327,1968/10/13,27,M,31
328,1918/1/24,1,F,81
329,1964/12/3,11,M,35
330,1944/8/5,65,F,55
331,1942/3/2,1,M,57
332,1978/7/25,29,M,21
333,1971/10/19,38,M,28
334,1969/10/31,32,M,30
335,1967/7/22,73,F,32
336,1964/2/11,39,F,35
337,1957/5/8,39,M,42
338,1951/6/19,8,F,48
339,1966/7/30,1,M,33
340,1970/8/19,1,F,29
341,1977/3/16,69,M,22
342,1972/6/30,69,F,27
343,1919/11/19,44,M,80
344,1963/7/16,54,F,36
345,1953/12/7,17,M,46
346,1960/11/2,17,F,39
347,1959/12/13,71,M,40
348,1953/1/24,71,F,46
349,1927/5/27,39,F,72
350,1925/4/2,25,F,74
351,1973/5/1,1,M,26
352,1940/8/27,56,M,59
353,1965/10/26,7,M,34
354,1922/4/27,49,F,77
355,1930/5/31,49,M,69
356,1979/12/7,1,F,20
357,1979/3/30,1,M,20
358,1959/6/26,7,F,40
359,1970/2/16,66,M,29
360,1943/4/27,49,M,56
361,1977/5/25,74,F,22
362,1950/4/27,35,F,49
363,1942/7/1,35,M,57
364,1942/12/5,54,F,57
365,1930/1/9,1,M,69
366,1936/11/10,1,F,63
367,1963/9/3,60,F,36
368,1968/10/14,60,M,31
369,1930/11/6,7,F,69
370,1956/1/5,71,F,43
371,1942/7/16,4,M,57
372,1932/4/3,34,M,67
373,1936/2/28,16,M,63
374,1967/6/14,26,M,32
375,1969/9/29,61,F,30
376,1973/1/8,14,F,26
378,1978/5/15,50,M,21
379,1983/10/13,50,F,16
380,1973/1/19,41,M,26
381,1977/1/26,73,F,22
382,1978/6/30,73,M,21
383,1939/5/17,15,F,60
384,1935/10/8,15,M,64
385,1948/3/24,45,M,51
386,1980/8/21,62,M,19
387,1927/6/6,76,M,72
388,1950/10/30,36,F,49
389,1974/6/30,47,F,25
390,1977/1/27,47,F,22
391,1933/5/22,47,F,66
392,1950/4/1,74,F,49
393,1956/8/31,74,M,43
394,1924/5/18,52,F,75
395,1919/7/5,52,M,80
396,1920/5/2,1,M,79
397,1930/3/27,75,M,69
398,1925/3/26,61,F,74
399,1952/4/14,45,M,47
400,1933/12/27,1,M,66
401,1928/11/19,1,F,71
402,1943/12/25,3,M,56
403,1973/5/26,42,F,26
404,1967/4/20,42,M,32
405,1934/10/19,65,F,65
406,1977/5/15,36,M,22
407,1975/5/27,73,F,24
408,1978/2/22,35,F,21
409,1925/6/18,74,M,74
410,1962/12/20,62,M,37
411,1941/4/14,17,F,58
412,1944/4/17,17,M,55
413,1972/11/18,49,F,27
414,1947/10/19,46,F,52
415,1945/4/1,46,M,54
416,1932/10/7,1,F,67
417,1930/6/10,1,M,69
418,1966/10/13,28,M,33
419,1970/10/7,64,F,29
420,1978/3/13,18,M,21
421,1965/7/31,54,M,34
422,1946/12/7,69,M,53
423,1957/6/23,37,M,42
424,1947/10/8,1,M,52
425,1948/2/12,25,M,51
426,1937/6/1,72,M,62
427,1941/9/14,72,F,58
428,1919/11/16,47,F,80
429,1981/1/20,50,F,18
430,1920/7/28,39,M,79
431,1927/10/1,24,F,72
432,1952/3/26,59,F,47
433,1955/2/7,62,M,44
434,1943/1/30,70,F,56
435,1967/10/23,20,M,32
436,1955/6/15,2,M,44
437,1920/1/17,11,F,79
438,1938/9/28,32,M,61
439,1968/9/12,51,F,31
440,1970/7/7,15,F,29
441,1959/9/14,1,M,40
442,1971/12/16,1,F,28
443,1971/12/20,1,M,28
444,1960/8/1,74,F,39
445,1947/4/27,1,F,52
446,1952/3/19,1,M,47
447,1946/9/4,23,M,53
448,1970/8/15,77,F,29
450,1953/11/27,25,M,46
451,1979/4/14,12,M,20
452,1953/10/22,55,F,46
453,1969/7/16,67,M,30
454,1949/6/15,38,F,50
455,1920/7/26,68,M,79
456,1940/2/28,25,M,59
457,1950/9/26,70,M,49
458,1961/7/24,68,M,38
459,1967/7/23,32,F,32
461,1970/8/13,68,F,29
462,1970/12/21,14,M,29
463,1944/4/5,38,M,55
464,1959/7/30,24,F,40
465,1952/9/1,5,M,47
466,1947/11/19,1,F,52
467,1950/4/17,1,M,49
468,1959/4/27,72,M,40
469,1970/10/13,59,F,29
470,1954/4/21,30,F,45
471,1977/1/11,44,M,22
472,1981/12/27,36,M,18
473,1939/9/25,1,F,60
474,1949/5/31,46,M,50
476,1947/6/1,1,F,52
477,1954/7/20,1,M,45
478,1978/6/21,21,M,21
479,1947/8/20,11,M,52
480,1946/1/24,11,F,53
481,1927/1/22,69,M,72
482,1934/1/22,69,F,65
483,1944/6/19,1,M,55
484,1959/9/13,28,F,40
485,1978/5/16,32,M,21
486,1944/4/12,68,M,55
487,1922/4/1,1,F,77
488,1917/8/2,1,M,82
489,1940/10/7,41,M,59
490,1950/10/23,55,M,49
491,1966/8/5,63,M,33
492,1935/10/26,72,M,64
493,1942/6/4,41,F,57
494,1980/5/19,1,M,19
495,1937/4/7,49,F,62
496,1951/5/21,70,F,48
497,1953/2/2,74,M,46
498,1948/1/15,74,F,51
499,1935/7/8,18,F,64
500,1971/1/6,1,M,28
501,1937/10/28,62,M,62
502,1919/12/8,6,M,80
503,1959/7/24,73,M,40
504,1979/8/1,36,M,20
505,1977/12/21,13,M,22
506,1946/8/16,75,M,53
507,1954/11/16,75,M,45
508,1971/4/28,53,M,28
509,1980/5/2,73,M,19
510,1976/4/15,12,M,23
511,1959/2/18,9,M,40
512,1965/8/3,60,F,34
513,1974/1/11,8,F,25
514,1968/11/15,8,M,31
515,1932/5/26,1,M,67
516,1930/4/27,1,F,69
517,1965/7/25,63,M,34
518,1979/4/28,54,F,20
519,1980/4/13,18,M,19
520,1947/9/27,46,F,52
521,1975/12/25,69,M,24
522,1956/3/4,1,F,43
523,1922/12/17,38,M,77
524,1963/1/2,30,F,36
525,1969/8/14,30,M,30
526,1964/2/1,43,M,35
527,1966/8/18,43,F,33
528,1977/2/11,37,M,22
529,1978/11/5,69,M,21
530,1957/9/27,29,F,42
531,1976/10/4,27,M,23
532,1980/9/3,27,F,19
533,1941/5/19,54,F,58
534,1957/7/22,74,M,42
535,1937/9/9,26,M,62
536,1939/8/25,47,M,60
537,1935/1/16,1,M,64
538,1948/5/10,5,F,51
540,1921/7/28,19,M,78
541,1927/3/9,19,F,72
542,1921/2/9,59,F,78
543,1958/4/15,11,F,41
544,1948/11/16,63,M,51
545,1973/10/11,75,F,26
546,1953/8/25,7,M,46
547,1949/3/31,54,M,50
548,1937/12/4,49,M,62
550,1961/11/30,7,M,38
551,1976/7/5,47,F,23
552,1934/5/8,1,F,65
553,1941/4/7,1,M,58
554,1925/4/19,30,F,74
555,1926/10/21,30,M,73
556,1946/7/8,29,M,53
557,1939/7/17,51,M,60
558,1920/7/5,43,F,79
559,1972/9/5,32,F,27
560,1967/12/16,71,F,32
561,1962/11/10,74,F,37
562,1975/9/22,49,F,24
563,1961/9/9,72,F,38
564,1955/1/24,72,M,44
565,1959/7/3,64,F,40
566,1946/3/5,47,F,53
567,1950/5/2,47,M,49
568,1960/7/19,8,F,39
569,1962/6/15,73,M,37
570,1941/1/31,61,F,58
571,1924/9/27,3,M,75
572,1920/8/4,3,F,79
573,1967/8/10,69,M,32
574,1972/12/25,1,M,27
575,1970/4/4,58,M,29
576,1974/5/12,58,F,25
577,1963/12/5,1,F,36
578,1977/7/7,23,F,22
579,1933/5/31,72,F,66
581,1949/2/4,70,F,50
582,1950/9/26,1,M,49
583,1965/1/1,75,F,34
584,1976/5/13,33,F,23
585,1942/2/21,40,F,57
586,1947/11/3,40,M,52
587,1945/7/8,25,F,54
588,1960/10/20,61,F,39
589,1961/9/17,45,M,38
590,1949/2/15,44,M,50
591,1974/10/29,65,F,25
592,1965/7/18,26,M,34
593,1954/7/10,60,F,45
596,1948/10/24,69,M,51
597,1943/2/22,55,M,56
598,1970/12/31,1,M,29
599,1977/5/18,1,F,22
601,1966/3/12,56,M,33
602,1965/1/16,56,F,34
603,1966/3/9,13,F,33
604,1965/7/31,1,F,34
605,1970/8/27,1,F,29
606,1949/1/25,10,F,50
607,1964/3/30,64,M,35
608,1972/8/31,67,M,27
609,1962/9/2,52,M,37
610,1979/8/10,74,F,20
611,1952/10/13,36,M,47
612,1960/11/10,36,F,39
613,1977/8/10,1,F,22
614,1947/2/3,14,F,52
615,1949/9/13,68,F,50
616,1975/1/1,58,M,24
617,1974/3/14,70,M,25
618,1932/3/16,57,F,67
619,1920/9/7,6,M,79
620,1918/2/13,6,F,81
621,1939/3/17,54,M,60
622,1931/11/23,74,F,68
623,1925/9/4,24,M,74
624,1932/7/26,24,F,67
625,1978/11/24,60,F,21
626,1980/4/13,9,M,19
627,1972/4/11,17,M,27
628,1970/5/27,17,F,29
629,1976/3/10,16,M,23
630,1952/3/3,61,M,47
631,1956/3/22,70,F,43
632,1946/3/16,67,M,53
633,1938/6/12,67,F,61
635,1927/6/29,17,F,72
636,1935/2/17,17,M,64
637,1970/12/15,39,F,29
638,1961/2/3,54,F,38
639,1978/8/2,31,M,21
640,1979/4/15,26,M,20
641,1962/7/4,40,F,37
642,1963/10/25,40,M,36
643,1949/6/13,1,F,50
644,1961/4/23,35,F,38
645,1925/12/21,14,M,74
646,1922/9/29,34,F,77
647,1929/4/6,34,M,70
648,1935/9/28,70,F,64
649,1978/5/2,13,F,21
651,1976/1/27,54,F,23
652,1938/12/8,61,M,61
653,1930/11/21,1,F,69
654,1942/5/17,64,F,57
655,1942/12/10,32,M,57
656,1956/6/6,1,M,43
657,1926/7/10,8,F,73
658,1926/12/21,8,M,73
659,1965/12/7,24,M,34
660,1923/3/22,16,M,76
661,1919/1/15,16,F,80
662,1945/8/7,5,M,54
663,1923/1/20,24,M,76
664,1980/3/19,77,F,19
665,1932/4/5,62,F,67
666,1982/5/23,26,M,17
667,1981/7/20,26,F,18
668,1942/12/25,1,F,57
669,1956/12/19,12,F,43
670,1959/1/21,1,M,40
671,1971/2/27,10,F,28
672,1929/11/9,46,F,70
673,1939/10/29,36,M,60
674,1927/1/11,11,F,72
675,1975/11/12,50,M,24
676,1953/2/7,70,M,46
677,1963/5/24,5,M,36
678,1933/5/28,39,F,66
679,1940/3/19,8,M,59
680,1940/5/9,8,F,59
681,1977/1/15,15,M,22
682,1979/10/21,18,M,20
683,1945/8/29,76,F,54
684,1976/4/10,3,F,23
685,1930/12/13,72,F,69
686,1971/10/3,32,F,28
687,1975/1/28,32,M,24
688,1954/5/4,1,M,45
689,1964/8/2,70,M,35
690,1942/11/7,38,M,57
691,1944/1/13,38,F,55
692,1936/1/11,74,F,63
693,1935/3/17,74,M,64
694,1936/2/28,29,M,63
695,1955/6/27,28,M,44
696,1952/12/1,28,F,47
697,1974/5/1,1,M,25
698,1954/2/27,75,M,45
699,1922/4/22,26,F,77
700,1929/11/20,12,M,70
702,1968/11/7,31,F,31
703,1959/4/26,4,M,40
704,1975/5/1,54,M,24
705,1938/12/10,19,M,61
706,1948/8/5,1,M,51
707,1941/12/14,1,M,58
708,1977/11/27,50,F,22
709,1934/12/29,1,M,65
710,1925/11/28,23,M,74
711,1963/8/16,48,F,36
712,1962/12/4,54,M,37
713,1980/3/29,20,F,19
714,1970/10/8,31,M,29
715,1952/1/15,1,F,47
716,1954/12/4,1,F,45
717,1968/5/2,54,M,31
718,1960/2/28,54,F,39
719,1974/8/9,46,M,25
720,1954/9/6,29,M,45
721,1940/2/15,43,M,59
722,1970/11/25,62,F,29
723,1957/7/26,12,F,42
724,1953/2/2,65,F,46
725,1956/12/11,75,M,43
726,1935/2/13,16,M,64
727,1930/7/20,32,F,69
728,1932/1/20,32,M,67
729,1969/3/17,63,F,30
730,1973/8/14,63,M,26
731,1979/1/22,74,F,20
732,1978/7/5,74,M,21
733,1978/7/28,46,M,21
734,1985/1/14,46,F,14
735,1973/11/26,1,M,26
736,1977/4/26,1,F,22
737,1952/11/4,74,M,47
738,1920/3/26,25,M,79
739,1942/4/16,72,M,57
740,1923/11/7,55,M,76
741,1941/7/9,74,M,58
742,1951/10/15,1,F,48
743,1941/2/17,1,M,58
744,1940/7/18,26,M,59
745,1966/2/14,52,F,33
746,1962/4/16,52,M,37
747,1953/8/20,24,F,46
748,1936/10/15,25,M,63
749,1933/7/29,25,F,66
750,1956/9/29,70,F,43
751,1959/3/9,70,M,40
752,1944/12/20,72,M,55
753,1940/9/24,72,F,59
754,1947/6/4,63,F,52
755,1947/11/21,72,M,52
756,1920/5/13,31,M,79
757,1970/12/20,71,F,29
758,1961/7/26,68,F,38
759,1955/5/20,29,M,44
760,1936/8/25,57,F,63
762,1937/4/20,21,M,62
763,1927/8/24,75,F,72
764,1955/10/13,49,F,44
765,1969/12/31,65,M,30
766,1926/7/3,1,F,73
767,1923/6/16,1,M,76
768,1931/9/23,32,F,68
769,1977/12/15,40,M,22
772,1944/12/10,64,M,55
773,1935/10/30,4,M,64
774,1973/3/3,70,M,26
775,1940/11/30,51,F,59
776,1953/5/3,1,F,46
777,1961/5/20,1,M,38
778,1940/6/4,13,M,59
779,1944/6/12,69,F,55
780,1924/2/26,3,M,75
781,1945/9/20,72,M,54
782,1963/3/18,5,F,36
783,1971/3/25,27,F,28
784,1964/12/28,27,M,35
785,1934/9/9,63,M,65
786,1978/9/6,53,M,21
787,1947/12/8,3,M,52
788,1974/9/3,47,M,25
789,1931/9/21,4,M,68
790,1967/5/9,63,F,32
791,1950/9/29,68,F,49
793,1978/2/4,21,M,21
794,1979/7/16,21,F,20
796,1919/8/30,1,M,80
797,1948/1/27,8,M,51
798,1940/2/12,27,F,59
799,1936/2/19,27,M,63
803,1951/2/15,35,M,48
804,1956/1/23,35,F,43
806,1980/4/22,60,M,19
807,1969/10/21,53,F,30
808,1963/11/28,31,M,36
809,1919/10/15,49,M,80
810,1945/9/24,58,F,54
811,1940/5/28,58,M,59
812,1940/12/6,39,M,59
813,1964/1/29,70,M,35
814,1959/10/1,19,M,40
815,1964/10/27,22,F,35
816,1958/2/1,17,F,41
818,1966/4/27,54,M,33
819,1958/7/8,74,M,41
820,1960/11/6,74,F,39
821,1948/5/12,49,M,51
822,1959/5/8,37,F,40
823,1956/10/24,41,M,43
824,1952/9/5,27,M,47
825,1977/4/2,74,M,22
826,1978/1/23,1,M,21
827,1965/9/4,10,F,34
828,1958/12/10,10,M,41
829,1957/5/19,24,M,42
830,1948/8/27,69,M,51
831,1948/5/2,2,M,51
832,1923/12/23,67,F,76
833,1960/6/11,5,M,39
834,1922/12/17,54,M,77
835,1943/10/20,28,F,56
836,1948/6/14,28,M,51
837,1974/10/14,71,M,25
838,1968/2/4,71,F,31
839,1955/5/18,47,F,44
840,1937/4/26,20,M,62
841,1981/2/10,69,M,18
842,1933/7/3,12,F,66
843,1957/9/3,54,F,42
844,1945/1/14,22,M,54
845,1953/1/30,22,F,46
846,1949/12/1,35,M,50
847,1979/12/25,49,M,20
849,1939/6/6,26,F,60
850,1969/9/21,19,M,30
851,1919/6/16,25,M,80
852,1916/6/4,25,F,83
853,1949/6/2,70,M,50
854,1941/11/2,72,F,58
855,1930/1/28,58,M,69
856,1919/1/22,23,M,80
857,1948/2/21,32,M,51
858,1959/3/29,47,F,40
859,1968/7/29,1,F,31
860,1967/12/8,1,M,32
861,1956/9/13,1,F,43
862,1952/1/5,30,M,47
863,1968/11/29,54,F,31
864,1953/3/27,11,M,46
865,1946/11/3,11,F,53
866,1975/11/24,38,F,24
870,1957/5/6,70,M,42
871,1974/3/11,76,M,25
872,1963/2/22,35,M,36
873,1944/1/5,60,M,55
874,1952/9/5,14,F,47
875,1956/12/7,14,M,43
876,1960/11/25,1,M,39
877,1927/1/21,5,F,72
878,1920/4/17,5,M,79
879,1943/12/8,38,F,56
880,1960/2/17,49,M,39
881,1975/2/22,5,F,24
882,1933/9/9,70,F,66
883,1920/1/6,75,F,79
884,1918/10/14,75,M,81
885,1923/2/8,34,M,76
886,1948/2/2,34,M,51
887,1973/11/28,66,F,26
888,1973/10/26,28,M,26
889,1981/10/24,54,F,18
890,1919/3/30,77,M,80
891,1931/1/31,33,M,68
892,1922/5/24,42,F,77
893,1935/10/23,43,F,64
894,1934/8/18,75,M,65
895,1970/7/3,39,M,29
896,1973/4/24,36,F,26
897,1981/3/25,36,M,18
898,1943/4/27,38,F,56
899,1944/2/13,38,M,55
900,1977/4/10,73,M,22
901,1919/12/21,39,M,80
902,1950/8/15,23,M,49
903,1934/3/6,31,M,65
904,1932/2/8,1,M,67
905,1940/10/23,38,M,59
906,1978/6/16,65,M,21
907,1948/3/11,51,M,51
908,1961/3/7,51,F,38
909,1975/9/7,23,M,24
910,1961/9/27,1,M,38
911,1939/11/28,43,M,60
912,1920/10/29,76,M,79
913,1938/11/18,1,M,61
914,1921/1/19,1,F,78
915,1975/5/3,12,M,24
916,1958/6/29,3,M,41
917,1973/9/16,25,F,26
918,1964/12/23,26,M,35
921,1954/2/13,7,F,45
922,1972/8/16,22,F,27
923,1978/8/22,22,M,21
924,1953/7/12,1,M,46
925,1959/8/13,54,M,40
926,1981/1/22,1,M,18
927,1974/10/26,1,M,25
928,1951/10/10,66,F,48
929,1935/4/23,30,M,64
930,1959/8/25,68,F,40
931,1968/6/7,16,M,31
932,1947/9/27,3,M,52
933,1978/3/11,33,F,21
934,1982/8/19,33,M,17
935,1946/5/17,42,F,53
936,1943/7/30,42,M,56
937,1931/11/14,1,M,68
938,1944/8/7,59,F,55
939,1952/8/3,21,M,47
940,1960/8/11,53,M,39
941,1935/10/5,10,M,64
942,1931/9/2,12,F,68
943,1936/9/26,12,M,63
944,1970/12/18,39,M,29
945,1977/1/10,39,F,22
946,1951/8/6,54,M,48
948,1924/4/22,49,M,75
949,1976/7/27,3,M,23
950,1965/4/12,76,F,34
951,1960/9/17,76,M,39
952,1951/5/1,63,F,48
953,1937/10/17,25,M,62
954,1942/10/20,1,F,57
955,1970/1/28,57,M,29
956,1966/10/21,1,M,33
957,1941/12/23,56,F,58
958,1942/5/4,56,M,57
959,1962/9/12,11,F,37
960,1957/4/13,16,F,42
961,1931/10/4,15,F,68
962,1966/2/19,19,M,33
963,1966/12/17,64,F,33
964,1953/10/21,10,F,46
965,1972/12/1,13,F,27
966,1978/9/2,13,M,21
967,1979/6/20,76,M,20
968,1957/2/17,69,M,42
970,1957/3/29,36,M,42
971,1919/1/1,46,F,80
972,1917/5/6,46,M,82
973,1970/10/6,14,F,29
974,1963/6/24,14,M,36
975,1959/7/12,1,F,40
976,1955/11/19,16,F,44
977,1926/5/10,76,F,73
978,1968/6/9,56,F,31
979,1966/11/18,56,M,33
980,1961/9/30,40,M,38
